Ref_Date,GEO,PROD,AREA,EST,Vector,Coordinate,Value
2007,Quebec,Specialized greenhouse flowers and plants,Glass,Square metres,v52221042,3.2.3.3,0.00000000
2008,Quebec,Specialized greenhouse flowers and plants,Glass,Square metres,v52221042,3.2.3.3,F
2009,Quebec,Specialized greenhouse flowers and plants,Glass,Square metres,v52221042,3.2.3.3,113456.00000000
2010,Quebec,Specialized greenhouse flowers and plants,Glass,Square metres,v52221042,3.2.3.3,73427.00000000
2011,Quebec,Specialized greenhouse flowers and plants,Glass,Square metres,v52221042,3.2.3.3,87415.00000000
2012,Quebec,Specialized greenhouse flowers and plants,Glass,Square metres,v52221042,3.2.3.3,80414.00000000
2013,Quebec,Specialized greenhouse flowers and plants,Glass,Square metres,v52221042,3.2.3.3,64585.00000000
2014,Quebec,Specialized greenhouse flowers and plants,Glass,Square metres,v52221042,3.2.3.3,x
2015,Quebec,Specialized greenhouse flowers and plants,Glass,Square metres,v52221042,3.2.3.3,x
2007,Quebec,Specialized greenhouse flowers and plants,Rigid plastic,Square feet,v52221048,3.2.4.2,0.00000000
2008,Quebec,Specialized greenhouse flowers and plants,Rigid plastic,Square feet,v52221048,3.2.4.2,F
2009,Quebec,Specialized greenhouse flowers and plants,Rigid plastic,Square feet,v52221048,3.2.4.2,1184070.00000000
2010,Quebec,Specialized greenhouse flowers and plants,Rigid plastic,Square feet,v52221048,3.2.4.2,255765.00000000
2011,Quebec,Specialized greenhouse flowers and plants,Rigid plastic,Square feet,v52221048,3.2.4.2,F
2012,Quebec,Specialized greenhouse flowers and plants,Rigid plastic,Square feet,v52221048,3.2.4.2,F
2013,Quebec,Specialized greenhouse flowers and plants,Rigid plastic,Square feet,v52221048,3.2.4.2,F
2014,Quebec,Specialized greenhouse flowers and plants,Rigid plastic,Square feet,v52221048,3.2.4.2,x
2015,Quebec,Specialized greenhouse flowers and plants,Rigid plastic,Square feet,v52221048,3.2.4.2,x
2007,Quebec,Specialized greenhouse flowers and plants,Rigid plastic,Square metres,v52221054,3.2.4.3,0.00000000
2008,Quebec,Specialized greenhouse flowers and plants,Rigid plastic,Square metres,v52221054,3.2.4.3,F
2009,Quebec,Specialized greenhouse flowers and plants,Rigid plastic,Square metres,v52221054,3.2.4.3,110004.00000000
2010,Quebec,Specialized greenhouse flowers and plants,Rigid plastic,Square metres,v52221054,3.2.4.3,23761.00000000
2011,Quebec,Specialized greenhouse flowers and plants,Rigid plastic,Square metres,v52221054,3.2.4.3,F
2012,Quebec,Specialized greenhouse flowers and plants,Rigid plastic,Square metres,v52221054,3.2.4.3,F
2013,Quebec,Specialized greenhouse flowers and plants,Rigid plastic,Square metres,v52221054,3.2.4.3,F
2014,Quebec,Specialized greenhouse flowers and plants,Rigid plastic,Square metres,v52221054,3.2.4.3,x
2015,Quebec,Specialized greenhouse flowers and plants,Rigid plastic,Square metres,v52221054,3.2.4.3,x
2007,Quebec,Specialized greenhouse flowers and plants,Poly-film,Square feet,v52221060,3.2.5.2,0.00000000
2008,Quebec,Specialized greenhouse flowers and plants,Poly-film,Square feet,v52221060,3.2.5.2,12524100.00000000
2009,Quebec,Specialized greenhouse flowers and plants,Poly-film,Square feet,v52221060,3.2.5.2,12595805.00000000
2010,Quebec,Specialized greenhouse flowers and plants,Poly-film,Square feet,v52221060,3.2.5.2,13419395.00000000
2011,Quebec,Specialized greenhouse flowers and plants,Poly-film,Square feet,v52221060,3.2.5.2,12911925.00000000
2012,Quebec,Specialized greenhouse flowers and plants,Poly-film,Square feet,v52221060,3.2.5.2,11823240.00000000
2013,Quebec,Specialized greenhouse flowers and plants,Poly-film,Square feet,v52221060,3.2.5.2,11489444.00000000
2014,Quebec,Specialized greenhouse flowers and plants,Poly-film,Square feet,v52221060,3.2.5.2,12422610.00000000
2015,Quebec,Specialized greenhouse flowers and plants,Poly-film,Square feet,v52221060,3.2.5.2,12570802.00000000
2007,Quebec,Specialized greenhouse flowers and plants,Poly-film,Square metres,v52221066,3.2.5.3,0.00000000
2008,Quebec,Specialized greenhouse flowers and plants,Poly-film,Square metres,v52221066,3.2.5.3,1163526.00000000
2009,Quebec,Specialized greenhouse flowers and plants,Poly-film,Square metres,v52221066,3.2.5.3,1170188.00000000
2010,Quebec,Specialized greenhouse flowers and plants,Poly-film,Square metres,v52221066,3.2.5.3,1246702.00000000
2011,Quebec,Specialized greenhouse flowers and plants,Poly-film,Square metres,v52221066,3.2.5.3,1199557.00000000
2012,Quebec,Specialized greenhouse flowers and plants,Poly-film,Square metres,v52221066,3.2.5.3,1098414.00000000
2013,Quebec,Specialized greenhouse flowers and plants,Poly-film,Square metres,v52221066,3.2.5.3,1067404.00000000
2014,Quebec,Specialized greenhouse flowers and plants,Poly-film,Square metres,v52221066,3.2.5.3,1154098.00000000
2015,Quebec,Specialized greenhouse flowers and plants,Poly-film,Square metres,v52221066,3.2.5.3,1167865.00000000
2007,Quebec,Specialized greenhouse flowers and plants,Total months of operation,Number,v52221072,3.2.6.1,0.00000000
2008,Quebec,Specialized greenhouse flowers and plants,Total months of operation,Number,v52221072,3.2.6.1,3005.00000000
2009,Quebec,Specialized greenhouse flowers and plants,Total months of operation,Number,v52221072,3.2.6.1,2620.00000000
2010,Quebec,Specialized greenhouse flowers and plants,Total months of operation,Number,v52221072,3.2.6.1,2625.00000000
2011,Quebec,Specialized greenhouse flowers and plants,Total months of operation,Number,v52221072,3.2.6.1,2290.00000000
2012,Quebec,Specialized greenhouse flowers and plants,Total months of operation,Number,v52221072,3.2.6.1,2400.00000000
2013,Quebec,Specialized greenhouse flowers and plants,Total months of operation,Number,v52221072,3.2.6.1,3575.00000000
2014,Quebec,Specialized greenhouse flowers and plants,Total months of operation,Number,v52221072,3.2.6.1,2935.00000000
2015,Quebec,Specialized greenhouse flowers and plants,Total months of operation,Number,v52221072,3.2.6.1,2779.00000000
2007,Ontario,Specialized greenhouse fruits and vegetables,Total greenhouse operations,Number,v52220959,4.1.1.1,0.00000000
2008,Ontario,Specialized greenhouse fruits and vegetables,Total greenhouse operations,Number,v52220959,4.1.1.1,215.00000000
2009,Ontario,Specialized greenhouse fruits and vegetables,Total greenhouse operations,Number,v52220959,4.1.1.1,240.00000000
2010,Ontario,Specialized greenhouse fruits and vegetables,Total greenhouse operations,Number,v52220959,4.1.1.1,240.00000000
2011,Ontario,Specialized greenhouse fruits and vegetables,Total greenhouse operations,Number,v52220959,4.1.1.1,235.00000000
2012,Ontario,Specialized greenhouse fruits and vegetables,Total greenhouse operations,Number,v52220959,4.1.1.1,235.00000000
2013,Ontario,Specialized greenhouse fruits and vegetables,Total greenhouse operations,Number,v52220959,4.1.1.1,230.00000000
2014,Ontario,Specialized greenhouse fruits and vegetables,Total greenhouse operations,Number,v52220959,4.1.1.1,230.00000000
2015,Ontario,Specialized greenhouse fruits and vegetables,Total greenhouse operations,Number,v52220959,4.1.1.1,228.00000000
2007,Ontario,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square feet,v52220965,4.1.2.2,0.00000000
2008,Ontario,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square feet,v52220965,4.1.2.2,79476204.00000000
2009,Ontario,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square feet,v52220965,4.1.2.2,82673310.00000000
2010,Ontario,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square feet,v52220965,4.1.2.2,83697435.00000000
2011,Ontario,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square feet,v52220965,4.1.2.2,88102305.00000000
2012,Ontario,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square feet,v52220965,4.1.2.2,94009514.00000000
2013,Ontario,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square feet,v52220965,4.1.2.2,98073719.00000000
2014,Ontario,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square feet,v52220965,4.1.2.2,101102479.00000000
2015,Ontario,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square feet,v52220965,4.1.2.2,102404265.00000000
2007,Ontario,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square metres,v52220971,4.1.2.3,0.00000000
2008,Ontario,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square metres,v52220971,4.1.2.3,7383578.00000000
2009,Ontario,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square metres,v52220971,4.1.2.3,7680599.00000000
2010,Ontario,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square metres,v52220971,4.1.2.3,7775743.00000000
2011,Ontario,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square metres,v52220971,4.1.2.3,8184968.00000000
2012,Ontario,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square metres,v52220971,4.1.2.3,8733766.00000000
2013,Ontario,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square metres,v52220971,4.1.2.3,9111343.00000000
2014,Ontario,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square metres,v52220971,4.1.2.3,9392724.00000000
2015,Ontario,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square metres,v52220971,4.1.2.3,9513663.00000000
2007,Ontario,Specialized greenhouse fruits and vegetables,Glass,Square feet,v52220977,4.1.3.2,0.00000000
2008,Ontario,Specialized greenhouse fruits and vegetables,Glass,Square feet,v52220977,4.1.3.2,18710317.00000000
2009,Ontario,Specialized greenhouse fruits and vegetables,Glass,Square feet,v52220977,4.1.3.2,22032820.00000000
2010,Ontario,Specialized greenhouse fruits and vegetables,Glass,Square feet,v52220977,4.1.3.2,20845025.00000000
2011,Ontario,Specialized greenhouse fruits and vegetables,Glass,Square feet,v52220977,4.1.3.2,22830550.00000000
2012,Ontario,Specialized greenhouse fruits and vegetables,Glass,Square feet,v52220977,4.1.3.2,23761688.00000000
2013,Ontario,Specialized greenhouse fruits and vegetables,Glass,Square feet,v52220977,4.1.3.2,25970640.00000000
2014,Ontario,Specialized greenhouse fruits and vegetables,Glass,Square feet,v52220977,4.1.3.2,30286791.00000000
2015,Ontario,Specialized greenhouse fruits and vegetables,Glass,Square feet,v52220977,4.1.3.2,31761470.00000000
2007,Ontario,Specialized greenhouse fruits and vegetables,Glass,Square metres,v52220983,4.1.3.3,0.00000000
2008,Ontario,Specialized greenhouse fruits and vegetables,Glass,Square metres,v52220983,4.1.3.3,1738245.00000000
2009,Ontario,Specialized greenhouse fruits and vegetables,Glass,Square metres,v52220983,4.1.3.3,2046915.00000000
2010,Ontario,Specialized greenhouse fruits and vegetables,Glass,Square metres,v52220983,4.1.3.3,1936565.00000000
2011,Ontario,Specialized greenhouse fruits and vegetables,Glass,Square metres,v52220983,4.1.3.3,2121027.00000000
2012,Ontario,Specialized greenhouse fruits and vegetables,Glass,Square metres,v52220983,4.1.3.3,2207532.00000000
2013,Ontario,Specialized greenhouse fruits and vegetables,Glass,Square metres,v52220983,4.1.3.3,2412750.00000000
2014,Ontario,Specialized greenhouse fruits and vegetables,Glass,Square metres,v52220983,4.1.3.3,2813734.00000000
2015,Ontario,Specialized greenhouse fruits and vegetables,Glass,Square metres,v52220983,4.1.3.3,2950736.00000000
2007,Ontario,Specialized greenhouse fruits and vegetables,Rigid plastic,Square feet,v52220989,4.1.4.2,0.00000000
2008,Ontario,Specialized greenhouse fruits and vegetables,Rigid plastic,Square feet,v52220989,4.1.4.2,10869200.00000000
2009,Ontario,Specialized greenhouse fruits and vegetables,Rigid plastic,Square feet,v52220989,4.1.4.2,6674605.00000000
2010,Ontario,Specialized greenhouse fruits and vegetables,Rigid plastic,Square feet,v52220989,4.1.4.2,F
2011,Ontario,Specialized greenhouse fruits and vegetables,Rigid plastic,Square feet,v52220989,4.1.4.2,F
2012,Ontario,Specialized greenhouse fruits and vegetables,Rigid plastic,Square feet,v52220989,4.1.4.2,F
2013,Ontario,Specialized greenhouse fruits and vegetables,Rigid plastic,Square feet,v52220989,4.1.4.2,1782544.00000000
2014,Ontario,Specialized greenhouse fruits and vegetables,Rigid plastic,Square feet,v52220989,4.1.4.2,1048205.00000000
2015,Ontario,Specialized greenhouse fruits and vegetables,Rigid plastic,Square feet,v52220989,4.1.4.2,0.00000000
2007,Ontario,Specialized greenhouse fruits and vegetables,Rigid plastic,Square metres,v52220995,4.1.4.3,0.00000000
2008,Ontario,Specialized greenhouse fruits and vegetables,Rigid plastic,Square metres,v52220995,4.1.4.3,1009781.00000000
2009,Ontario,Specialized greenhouse fruits and vegetables,Rigid plastic,Square metres,v52220995,4.1.4.3,620091.00000000
2010,Ontario,Specialized greenhouse fruits and vegetables,Rigid plastic,Square metres,v52220995,4.1.4.3,F
2011,Ontario,Specialized greenhouse fruits and vegetables,Rigid plastic,Square metres,v52220995,4.1.4.3,F
2012,Ontario,Specialized greenhouse fruits and vegetables,Rigid plastic,Square metres,v52220995,4.1.4.3,F
2013,Ontario,Specialized greenhouse fruits and vegetables,Rigid plastic,Square metres,v52220995,4.1.4.3,165604.00000000
2014,Ontario,Specialized greenhouse fruits and vegetables,Rigid plastic,Square metres,v52220995,4.1.4.3,97381.00000000
2015,Ontario,Specialized greenhouse fruits and vegetables,Rigid plastic,Square metres,v52220995,4.1.4.3,0.00000000
2007,Ontario,Specialized greenhouse fruits and vegetables,Poly-film,Square feet,v52221001,4.1.5.2,0.00000000
2008,Ontario,Specialized greenhouse fruits and vegetables,Poly-film,Square feet,v52221001,4.1.5.2,49896687.00000000
2009,Ontario,Specialized greenhouse fruits and vegetables,Poly-film,Square feet,v52221001,4.1.5.2,53965885.00000000
2010,Ontario,Specialized greenhouse fruits and vegetables,Poly-film,Square feet,v52221001,4.1.5.2,61321400.00000000
2011,Ontario,Specialized greenhouse fruits and vegetables,Poly-film,Square feet,v52221001,4.1.5.2,65035730.00000000
2012,Ontario,Specialized greenhouse fruits and vegetables,Poly-film,Square feet,v52221001,4.1.5.2,69057661.00000000
2013,Ontario,Specialized greenhouse fruits and vegetables,Poly-film,Square feet,v52221001,4.1.5.2,70320535.00000000
2014,Ontario,Specialized greenhouse fruits and vegetables,Poly-film,Square feet,v52221001,4.1.5.2,69767483.00000000
2015,Ontario,Specialized greenhouse fruits and vegetables,Poly-film,Square feet,v52221001,4.1.5.2,70642795.00000000
2007,Ontario,Specialized greenhouse fruits and vegetables,Poly-film,Square metres,v52221007,4.1.5.3,0.00000000
2008,Ontario,Specialized greenhouse fruits and vegetables,Poly-film,Square metres,v52221007,4.1.5.3,4635552.00000000
2009,Ontario,Specialized greenhouse fruits and vegetables,Poly-film,Square metres,v52221007,4.1.5.3,5013593.00000000
2010,Ontario,Specialized greenhouse fruits and vegetables,Poly-film,Square metres,v52221007,4.1.5.3,5696942.00000000
2011,Ontario,Specialized greenhouse fruits and vegetables,Poly-film,Square metres,v52221007,4.1.5.3,6042014.00000000
2012,Ontario,Specialized greenhouse fruits and vegetables,Poly-film,Square metres,v52221007,4.1.5.3,6415664.00000000
2013,Ontario,Specialized greenhouse fruits and vegetables,Poly-film,Square metres,v52221007,4.1.5.3,6532989.00000000
2014,Ontario,Specialized greenhouse fruits and vegetables,Poly-film,Square metres,v52221007,4.1.5.3,6481608.00000000
2015,Ontario,Specialized greenhouse fruits and vegetables,Poly-film,Square metres,v52221007,4.1.5.3,6562928.00000000
2007,Ontario,Specialized greenhouse fruits and vegetables,Total months of operation,Number,v52221013,4.1.6.1,0.00000000
2008,Ontario,Specialized greenhouse fruits and vegetables,Total months of operation,Number,v52221013,4.1.6.1,2225.00000000
2009,Ontario,Specialized greenhouse fruits and vegetables,Total months of operation,Number,v52221013,4.1.6.1,2780.00000000
2010,Ontario,Specialized greenhouse fruits and vegetables,Total months of operation,Number,v52221013,4.1.6.1,2510.00000000
2011,Ontario,Specialized greenhouse fruits and vegetables,Total months of operation,Number,v52221013,4.1.6.1,2375.00000000
2012,Ontario,Specialized greenhouse fruits and vegetables,Total months of operation,Number,v52221013,4.1.6.1,2810.00000000
2013,Ontario,Specialized greenhouse fruits and vegetables,Total months of operation,Number,v52221013,4.1.6.1,2750.00000000
2014,Ontario,Specialized greenhouse fruits and vegetables,Total months of operation,Number,v52221013,4.1.6.1,2750.00000000
2015,Ontario,Specialized greenhouse fruits and vegetables,Total months of operation,Number,v52221013,4.1.6.1,3547.00000000
2007,Ontario,Specialized greenhouse flowers and plants,Total greenhouse operations,Number,v52221019,4.2.1.1,0.00000000
2008,Ontario,Specialized greenhouse flowers and plants,Total greenhouse operations,Number,v52221019,4.2.1.1,885.00000000
2009,Ontario,Specialized greenhouse flowers and plants,Total greenhouse operations,Number,v52221019,4.2.1.1,830.00000000
2010,Ontario,Specialized greenhouse flowers and plants,Total greenhouse operations,Number,v52221019,4.2.1.1,720.00000000
2011,Ontario,Specialized greenhouse flowers and plants,Total greenhouse operations,Number,v52221019,4.2.1.1,680.00000000
2012,Ontario,Specialized greenhouse flowers and plants,Total greenhouse operations,Number,v52221019,4.2.1.1,660.00000000
2013,Ontario,Specialized greenhouse flowers and plants,Total greenhouse operations,Number,v52221019,4.2.1.1,655.00000000
2014,Ontario,Specialized greenhouse flowers and plants,Total greenhouse operations,Number,v52221019,4.2.1.1,645.00000000
2015,Ontario,Specialized greenhouse flowers and plants,Total greenhouse operations,Number,v52221019,4.2.1.1,640.00000000
2007,Ontario,Specialized greenhouse flowers and plants,Total greenhouse area,Square feet,v52221025,4.2.2.2,0.00000000
2008,Ontario,Specialized greenhouse flowers and plants,Total greenhouse area,Square feet,v52221025,4.2.2.2,45795540.00000000
2009,Ontario,Specialized greenhouse flowers and plants,Total greenhouse area,Square feet,v52221025,4.2.2.2,45829375.00000000
2010,Ontario,Specialized greenhouse flowers and plants,Total greenhouse area,Square feet,v52221025,4.2.2.2,43638130.00000000
2011,Ontario,Specialized greenhouse flowers and plants,Total greenhouse area,Square feet,v52221025,4.2.2.2,42352810.00000000
2012,Ontario,Specialized greenhouse flowers and plants,Total greenhouse area,Square feet,v52221025,4.2.2.2,41468535.00000000
2013,Ontario,Specialized greenhouse flowers and plants,Total greenhouse area,Square feet,v52221025,4.2.2.2,41524405.00000000
2014,Ontario,Specialized greenhouse flowers and plants,Total greenhouse area,Square feet,v52221025,4.2.2.2,37776558.00000000
2015,Ontario,Specialized greenhouse flowers and plants,Total greenhouse area,Square feet,v52221025,4.2.2.2,37405928.00000000
2007,Ontario,Specialized greenhouse flowers and plants,Total greenhouse area,Square metres,v52221031,4.2.2.3,0.00000000
2008,Ontario,Specialized greenhouse flowers and plants,Total greenhouse area,Square metres,v52221031,4.2.2.3,4254543.00000000
2009,Ontario,Specialized greenhouse flowers and plants,Total greenhouse area,Square metres,v52221031,4.2.2.3,4257686.00000000
2010,Ontario,Specialized greenhouse flowers and plants,Total greenhouse area,Square metres,v52221031,4.2.2.3,4054113.00000000
2011,Ontario,Specialized greenhouse flowers and plants,Total greenhouse area,Square metres,v52221031,4.2.2.3,3934703.00000000
2012,Ontario,Specialized greenhouse flowers and plants,Total greenhouse area,Square metres,v52221031,4.2.2.3,3852551.00000000
2013,Ontario,Specialized greenhouse flowers and plants,Total greenhouse area,Square metres,v52221031,4.2.2.3,3857742.00000000
2014,Ontario,Specialized greenhouse flowers and plants,Total greenhouse area,Square metres,v52221031,4.2.2.3,3509556.00000000
2015,Ontario,Specialized greenhouse flowers and plants,Total greenhouse area,Square metres,v52221031,4.2.2.3,3475123.00000000
2007,Ontario,Specialized greenhouse flowers and plants,Glass,Square feet,v52221037,4.2.3.2,0.00000000
2008,Ontario,Specialized greenhouse flowers and plants,Glass,Square feet,v52221037,4.2.3.2,14158390.00000000
2009,Ontario,Specialized greenhouse flowers and plants,Glass,Square feet,v52221037,4.2.3.2,13084325.00000000
2010,Ontario,Specialized greenhouse flowers and plants,Glass,Square feet,v52221037,4.2.3.2,13054420.00000000
2011,Ontario,Specialized greenhouse flowers and plants,Glass,Square feet,v52221037,4.2.3.2,12836750.00000000
2012,Ontario,Specialized greenhouse flowers and plants,Glass,Square feet,v52221037,4.2.3.2,12413015.00000000
2013,Ontario,Specialized greenhouse flowers and plants,Glass,Square feet,v52221037,4.2.3.2,13076866.00000000
2014,Ontario,Specialized greenhouse flowers and plants,Glass,Square feet,v52221037,4.2.3.2,12542712.00000000
2015,Ontario,Specialized greenhouse flowers and plants,Glass,Square feet,v52221037,4.2.3.2,12925592.00000000
2007,Ontario,Specialized greenhouse flowers and plants,Glass,Square metres,v52221043,4.2.3.3,0.00000000
2008,Ontario,Specialized greenhouse flowers and plants,Glass,Square metres,v52221043,4.2.3.3,1315357.00000000
2009,Ontario,Specialized greenhouse flowers and plants,Glass,Square metres,v52221043,4.2.3.3,1215573.00000000
2010,Ontario,Specialized greenhouse flowers and plants,Glass,Square metres,v52221043,4.2.3.3,1212795.00000000
2011,Ontario,Specialized greenhouse flowers and plants,Glass,Square metres,v52221043,4.2.3.3,1192573.00000000
2012,Ontario,Specialized greenhouse flowers and plants,Glass,Square metres,v52221043,4.2.3.3,1153206.00000000
2013,Ontario,Specialized greenhouse flowers and plants,Glass,Square metres,v52221043,4.2.3.3,1214880.00000000
2014,Ontario,Specialized greenhouse flowers and plants,Glass,Square metres,v52221043,4.2.3.3,1165256.00000000
2015,Ontario,Specialized greenhouse flowers and plants,Glass,Square metres,v52221043,4.2.3.3,1200826.00000000
2007,Ontario,Specialized greenhouse flowers and plants,Rigid plastic,Square feet,v52221049,4.2.4.2,0.00000000
2008,Ontario,Specialized greenhouse flowers and plants,Rigid plastic,Square feet,v52221049,4.2.4.2,5282800.00000000
2009,Ontario,Specialized greenhouse flowers and plants,Rigid plastic,Square feet,v52221049,4.2.4.2,3344460.00000000
2010,Ontario,Specialized greenhouse flowers and plants,Rigid plastic,Square feet,v52221049,4.2.4.2,3748600.00000000
2011,Ontario,Specialized greenhouse flowers and plants,Rigid plastic,Square feet,v52221049,4.2.4.2,2689095.00000000
2012,Ontario,Specialized greenhouse flowers and plants,Rigid plastic,Square feet,v52221049,4.2.4.2,2804150.00000000
2013,Ontario,Specialized greenhouse flowers and plants,Rigid plastic,Square feet,v52221049,4.2.4.2,2941975.00000000
2014,Ontario,Specialized greenhouse flowers and plants,Rigid plastic,Square feet,v52221049,4.2.4.2,2250281.00000000
2015,Ontario,Specialized greenhouse flowers and plants,Rigid plastic,Square feet,v52221049,4.2.4.2,2176301.00000000
2007,Ontario,Specialized greenhouse flowers and plants,Rigid plastic,Square metres,v52221055,4.2.4.3,0.00000000
2008,Ontario,Specialized greenhouse flowers and plants,Rigid plastic,Square metres,v52221055,4.2.4.3,490788.00000000
2009,Ontario,Specialized greenhouse flowers and plants,Rigid plastic,Square metres,v52221055,4.2.4.3,310710.00000000
2010,Ontario,Specialized greenhouse flowers and plants,Rigid plastic,Square metres,v52221055,4.2.4.3,348256.00000000
2011,Ontario,Specialized greenhouse flowers and plants,Rigid plastic,Square metres,v52221055,4.2.4.3,249825.00000000
2012,Ontario,Specialized greenhouse flowers and plants,Rigid plastic,Square metres,v52221055,4.2.4.3,260514.00000000
2013,Ontario,Specialized greenhouse flowers and plants,Rigid plastic,Square metres,v52221055,4.2.4.3,273318.00000000
2014,Ontario,Specialized greenhouse flowers and plants,Rigid plastic,Square metres,v52221055,4.2.4.3,209058.00000000
2015,Ontario,Specialized greenhouse flowers and plants,Rigid plastic,Square metres,v52221055,4.2.4.3,202185.00000000
2007,Ontario,Specialized greenhouse flowers and plants,Poly-film,Square feet,v52221061,4.2.5.2,0.00000000
2008,Ontario,Specialized greenhouse flowers and plants,Poly-film,Square feet,v52221061,4.2.5.2,26354350.00000000
2009,Ontario,Specialized greenhouse flowers and plants,Poly-film,Square feet,v52221061,4.2.5.2,29400590.00000000
2010,Ontario,Specialized greenhouse flowers and plants,Poly-film,Square feet,v52221061,4.2.5.2,26835110.00000000
2011,Ontario,Specialized greenhouse flowers and plants,Poly-film,Square feet,v52221061,4.2.5.2,26826965.00000000
2012,Ontario,Specialized greenhouse flowers and plants,Poly-film,Square feet,v52221061,4.2.5.2,26251370.00000000
2013,Ontario,Specialized greenhouse flowers and plants,Poly-film,Square feet,v52221061,4.2.5.2,25505564.00000000
2014,Ontario,Specialized greenhouse flowers and plants,Poly-film,Square feet,v52221061,4.2.5.2,22983565.00000000
2015,Ontario,Specialized greenhouse flowers and plants,Poly-film,Square feet,v52221061,4.2.5.2,22304034.00000000
2007,Ontario,Specialized greenhouse flowers and plants,Poly-film,Square metres,v52221067,4.2.5.3,0.00000000
2008,Ontario,Specialized greenhouse flowers and plants,Poly-film,Square metres,v52221067,4.2.5.3,2448398.00000000
2009,Ontario,Specialized greenhouse flowers and plants,Poly-film,Square metres,v52221067,4.2.5.3,2731403.00000000
2010,Ontario,Specialized greenhouse flowers and plants,Poly-film,Square metres,v52221067,4.2.5.3,2493062.00000000
2011,Ontario,Specialized greenhouse flowers and plants,Poly-film,Square metres,v52221067,4.2.5.3,2492306.00000000
2012,Ontario,Specialized greenhouse flowers and plants,Poly-film,Square metres,v52221067,4.2.5.3,2438831.00000000
2013,Ontario,Specialized greenhouse flowers and plants,Poly-film,Square metres,v52221067,4.2.5.3,2369543.00000000
2014,Ontario,Specialized greenhouse flowers and plants,Poly-film,Square metres,v52221067,4.2.5.3,2135242.00000000
2015,Ontario,Specialized greenhouse flowers and plants,Poly-film,Square metres,v52221067,4.2.5.3,2072112.00000000
2007,Ontario,Specialized greenhouse flowers and plants,Total months of operation,Number,v52221073,4.2.6.1,0.00000000
2008,Ontario,Specialized greenhouse flowers and plants,Total months of operation,Number,v52221073,4.2.6.1,7710.00000000
2009,Ontario,Specialized greenhouse flowers and plants,Total months of operation,Number,v52221073,4.2.6.1,6550.00000000
2010,Ontario,Specialized greenhouse flowers and plants,Total months of operation,Number,v52221073,4.2.6.1,6020.00000000
2011,Ontario,Specialized greenhouse flowers and plants,Total months of operation,Number,v52221073,4.2.6.1,5300.00000000
2012,Ontario,Specialized greenhouse flowers and plants,Total months of operation,Number,v52221073,4.2.6.1,5505.00000000
2013,Ontario,Specialized greenhouse flowers and plants,Total months of operation,Number,v52221073,4.2.6.1,6782.00000000
2014,Ontario,Specialized greenhouse flowers and plants,Total months of operation,Number,v52221073,4.2.6.1,7480.00000000
2015,Ontario,Specialized greenhouse flowers and plants,Total months of operation,Number,v52221073,4.2.6.1,7202.00000000
2007,Prairie provinces,Specialized greenhouse fruits and vegetables,Total greenhouse operations,Number,v52220960,5.1.1.1,0.00000000
2008,Prairie provinces,Specialized greenhouse fruits and vegetables,Total greenhouse operations,Number,v52220960,5.1.1.1,95.00000000
2009,Prairie provinces,Specialized greenhouse fruits and vegetables,Total greenhouse operations,Number,v52220960,5.1.1.1,80.00000000
2010,Prairie provinces,Specialized greenhouse fruits and vegetables,Total greenhouse operations,Number,v52220960,5.1.1.1,80.00000000
2011,Prairie provinces,Specialized greenhouse fruits and vegetables,Total greenhouse operations,Number,v52220960,5.1.1.1,80.00000000
2012,Prairie provinces,Specialized greenhouse fruits and vegetables,Total greenhouse operations,Number,v52220960,5.1.1.1,85.00000000
2013,Prairie provinces,Specialized greenhouse fruits and vegetables,Total greenhouse operations,Number,v52220960,5.1.1.1,85.00000000
2014,Prairie provinces,Specialized greenhouse fruits and vegetables,Total greenhouse operations,Number,v52220960,5.1.1.1,80.00000000
2015,Prairie provinces,Specialized greenhouse fruits and vegetables,Total greenhouse operations,Number,v52220960,5.1.1.1,75.00000000
2007,Prairie provinces,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square feet,v52220966,5.1.2.2,0.00000000
2008,Prairie provinces,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square feet,v52220966,5.1.2.2,3773700.00000000
2009,Prairie provinces,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square feet,v52220966,5.1.2.2,4821950.00000000
2010,Prairie provinces,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square feet,v52220966,5.1.2.2,5324988.00000000
