Ref_Date,GEO,ORI,INT,Vector,Coordinate,Value
1975,Canada,Overseas,"Workers, mining and quarrying, gas and oil",v742578,1.2.11,164.00
1976,Canada,Overseas,"Workers, mining and quarrying, gas and oil",v742578,1.2.11,93.00
1953,Canada,Overseas,"Workers, manufacturing, mechanical and construction",v742568,1.2.12,25791.00
1954,Canada,Overseas,"Workers, manufacturing, mechanical and construction",v742568,1.2.12,25095.00
1955,Canada,Overseas,"Workers, manufacturing, mechanical and construction",v742568,1.2.12,14572.00
1956,Canada,Overseas,"Workers, manufacturing, mechanical and construction",v742568,1.2.12,28650.00
1957,Canada,Overseas,"Workers, manufacturing, mechanical and construction",v742568,1.2.12,53526.00
1958,Canada,Overseas,"Workers, manufacturing, mechanical and construction",v742568,1.2.12,16726.00
1959,Canada,Overseas,"Workers, manufacturing, mechanical and construction",v742568,1.2.12,12214.00
1960,Canada,Overseas,"Workers, manufacturing, mechanical and construction",v742568,1.2.12,13011.00
1961,Canada,Overseas,"Workers, manufacturing, mechanical and construction",v742568,1.2.12,7615.00
1962,Canada,Overseas,"Workers, manufacturing, mechanical and construction",v742568,1.2.12,9213.00
1963,Canada,Overseas,"Workers, manufacturing, mechanical and construction",v742568,1.2.12,13938.00
1964,Canada,Overseas,"Workers, manufacturing, mechanical and construction",v742568,1.2.12,16852.00
1965,Canada,Overseas,"Workers, manufacturing, mechanical and construction",v742568,1.2.12,23408.00
1966,Canada,Overseas,"Workers, manufacturing, mechanical and construction",v742568,1.2.12,33140.00
1967,Canada,Overseas,"Workers, manufacturing, mechanical and construction",v742568,1.2.12,37830.00
1968,Canada,Overseas,"Workers, manufacturing, mechanical and construction",v742568,1.2.12,29977.00
1969,Canada,Overseas,"Workers, manufacturing, mechanical and construction",v742568,1.2.12,22413.00
1970,Canada,Overseas,"Workers, manufacturing, mechanical and construction",v742568,1.2.12,20704.00
1971,Canada,Overseas,"Workers, manufacturing, mechanical and construction",v742568,1.2.12,14949.00
1972,Canada,Overseas,"Workers, manufacturing, mechanical and construction",v742568,1.2.12,14203.00
1973,Canada,Overseas,"Workers, manufacturing, mechanical and construction",v742568,1.2.12,25182.00
1974,Canada,Overseas,"Workers, manufacturing, mechanical and construction",v742568,1.2.12,32951.00
1975,Canada,Overseas,"Workers, manufacturing, mechanical and construction",v742568,1.2.12,23545.00
1976,Canada,Overseas,"Workers, manufacturing, mechanical and construction",v742568,1.2.12,15646.00
1953,Canada,Overseas,"Workers, labourers",v742569,1.2.13,10312.00
1954,Canada,Overseas,"Workers, labourers",v742569,1.2.13,12924.00
1955,Canada,Overseas,"Workers, labourers",v742569,1.2.13,7613.00
1956,Canada,Overseas,"Workers, labourers",v742569,1.2.13,12368.00
1957,Canada,Overseas,"Workers, labourers",v742569,1.2.13,19382.00
1958,Canada,Overseas,"Workers, labourers",v742569,1.2.13,9334.00
1959,Canada,Overseas,"Workers, labourers",v742569,1.2.13,8875.00
1960,Canada,Overseas,"Workers, labourers",v742569,1.2.13,7417.00
1961,Canada,Overseas,"Workers, labourers",v742569,1.2.13,3918.00
1962,Canada,Overseas,"Workers, labourers",v742569,1.2.13,3114.00
1963,Canada,Overseas,"Workers, labourers",v742569,1.2.13,3524.00
1964,Canada,Overseas,"Workers, labourers",v742569,1.2.13,5699.00
1965,Canada,Overseas,"Workers, labourers",v742569,1.2.13,7049.00
1966,Canada,Overseas,"Workers, labourers",v742569,1.2.13,7514.00
1967,Canada,Overseas,"Workers, labourers",v742569,1.2.13,8716.00
1968,Canada,Overseas,"Workers, labourers",v742569,1.2.13,2613.00
1969,Canada,Overseas,"Workers, labourers",v742569,1.2.13,1939.00
1970,Canada,Overseas,"Workers, labourers",v742569,1.2.13,1509.00
1971,Canada,Overseas,"Workers, labourers",v742569,1.2.13,1235.00
1972,Canada,Overseas,"Workers, labourers",v742569,1.2.13,1089.00
1973,Canada,Overseas,"Workers, labourers",v742569,1.2.13,2578.00
1974,Canada,Overseas,"Workers, labourers",v742569,1.2.13,1658.00
1975,Canada,Overseas,"Workers, labourers",v742569,1.2.13,1117.00
1976,Canada,Overseas,"Workers, labourers",v742569,1.2.13,851.00
1953,Canada,Overseas,"Workers, others not stated",v742570,1.2.14,813.00
1954,Canada,Overseas,"Workers, others not stated",v742570,1.2.14,478.00
1955,Canada,Overseas,"Workers, others not stated",v742570,1.2.14,320.00
1956,Canada,Overseas,"Workers, others not stated",v742570,1.2.14,412.00
1957,Canada,Overseas,"Workers, others not stated",v742570,1.2.14,634.00
1958,Canada,Overseas,"Workers, others not stated",v742570,1.2.14,408.00
1959,Canada,Overseas,"Workers, others not stated",v742570,1.2.14,383.00
1960,Canada,Overseas,"Workers, others not stated",v742570,1.2.14,285.00
1961,Canada,Overseas,"Workers, others not stated",v742570,1.2.14,38.00
1962,Canada,Overseas,"Workers, others not stated",v742570,1.2.14,34.00
1963,Canada,Overseas,"Workers, others not stated",v742570,1.2.14,36.00
1964,Canada,Overseas,"Workers, others not stated",v742570,1.2.14,223.00
1965,Canada,Overseas,"Workers, others not stated",v742570,1.2.14,365.00
1966,Canada,Overseas,"Workers, others not stated",v742570,1.2.14,844.00
1967,Canada,Overseas,"Workers, others not stated",v742570,1.2.14,1599.00
1968,Canada,Overseas,"Workers, others not stated",v742570,1.2.14,89.00
1969,Canada,Overseas,"Workers, others not stated",v742570,1.2.14,1108.00
1970,Canada,Overseas,"Workers, others not stated",v742570,1.2.14,2169.00
1971,Canada,Overseas,"Workers, others not stated",v742570,1.2.14,1967.00
1972,Canada,Overseas,"Workers, others not stated",v742570,1.2.14,2427.00
1973,Canada,Overseas,"Workers, others not stated",v742570,1.2.14,4680.00
1974,Canada,Overseas,"Workers, others not stated",v742570,1.2.14,6423.00
1975,Canada,Overseas,"Workers, others not stated",v742570,1.2.14,4401.00
1976,Canada,Overseas,"Workers, others not stated",v742570,1.2.14,3903.00
1953,Canada,Overseas,Total dependents,v742579,1.2.15,72360.00
1954,Canada,Overseas,Total dependents,v742579,1.2.15,63912.00
1955,Canada,Overseas,Total dependents,v742579,1.2.15,45751.00
1956,Canada,Overseas,Total dependents,v742579,1.2.15,67891.00
1957,Canada,Overseas,Total dependents,v742579,1.2.15,123975.00
1958,Canada,Overseas,Total dependents,v742579,1.2.15,55143.00
1959,Canada,Overseas,Total dependents,v742579,1.2.15,46220.00
1960,Canada,Overseas,Total dependents,v742579,1.2.15,43672.00
1961,Canada,Overseas,Total dependents,v742579,1.2.15,29566.00
1962,Canada,Overseas,Total dependents,v742579,1.2.15,30340.00
1963,Canada,Overseas,Total dependents,v742579,1.2.15,39759.00
1964,Canada,Overseas,Total dependents,v742579,1.2.15,48772.00
1965,Canada,Overseas,Total dependents,v742579,1.2.15,63855.00
1966,Canada,Overseas,Total dependents,v742579,1.2.15,85427.00
1967,Canada,Overseas,Total dependents,v742579,1.2.15,92565.00
1968,Canada,Overseas,Total dependents,v742579,1.2.15,77646.00
1969,Canada,Overseas,Total dependents,v742579,1.2.15,64617.00
1970,Canada,Overseas,Total dependents,v742579,1.2.15,57028.00
1971,Canada,Overseas,Total dependents,v742579,1.2.15,46886.00
1972,Canada,Overseas,Total dependents,v742579,1.2.15,49660.00
1973,Canada,Overseas,Total dependents,v742579,1.2.15,77223.00
1974,Canada,Overseas,Total dependents,v742579,1.2.15,97266.00
1975,Canada,Overseas,Total dependents,v742579,1.2.15,94717.00
1976,Canada,Overseas,Total dependents,v742579,1.2.15,77662.00
1953,Canada,Overseas,"Dependents, spouse",v742580,1.2.16,29041.00
1954,Canada,Overseas,"Dependents, spouse",v742580,1.2.16,26417.00
1955,Canada,Overseas,"Dependents, spouse",v742580,1.2.16,19053.00
1956,Canada,Overseas,"Dependents, spouse",v742580,1.2.16,28171.00
1957,Canada,Overseas,"Dependents, spouse",v742580,1.2.16,49910.00
1958,Canada,Overseas,"Dependents, spouse",v742580,1.2.16,22274.00
1959,Canada,Overseas,"Dependents, spouse",v742580,1.2.16,18562.00
1960,Canada,Overseas,"Dependents, spouse",v742580,1.2.16,18081.00
1961,Canada,Overseas,"Dependents, spouse",v742580,1.2.16,13243.00
1962,Canada,Overseas,"Dependents, spouse",v742580,1.2.16,12979.00
1963,Canada,Overseas,"Dependents, spouse",v742580,1.2.16,16591.00
1964,Canada,Overseas,"Dependents, spouse",v742580,1.2.16,18565.00
1965,Canada,Overseas,"Dependents, spouse",v742580,1.2.16,23094.00
1966,Canada,Overseas,"Dependents, spouse",v742580,1.2.16,30883.00
1967,Canada,Overseas,"Dependents, spouse",v742580,1.2.16,34380.00
1968,Canada,Overseas,"Dependents, spouse",v742580,1.2.16,28325.00
1969,Canada,Overseas,"Dependents, spouse",v742580,1.2.16,22958.00
1970,Canada,Overseas,"Dependents, spouse",v742580,1.2.16,20488.00
1971,Canada,Overseas,"Dependents, spouse",v742580,1.2.16,16378.00
1972,Canada,Overseas,"Dependents, spouse",v742580,1.2.16,17097.00
1973,Canada,Overseas,"Dependents, spouse",v742580,1.2.16,22649.00
1974,Canada,Overseas,"Dependents, spouse",v742580,1.2.16,27980.00
1975,Canada,Overseas,"Dependents, spouse",v742580,1.2.16,26574.00
1976,Canada,Overseas,"Dependents, spouse",v742580,1.2.16,22126.00
1953,Canada,Overseas,"Dependents, children",v742581,1.2.17,38836.00
1954,Canada,Overseas,"Dependents, children",v742581,1.2.17,32694.00
1955,Canada,Overseas,"Dependents, children",v742581,1.2.17,22361.00
1956,Canada,Overseas,"Dependents, children",v742581,1.2.17,35481.00
1957,Canada,Overseas,"Dependents, children",v742581,1.2.17,67227.00
1958,Canada,Overseas,"Dependents, children",v742581,1.2.17,27061.00
1959,Canada,Overseas,"Dependents, children",v742581,1.2.17,22424.00
1960,Canada,Overseas,"Dependents, children",v742581,1.2.17,21131.00
1961,Canada,Overseas,"Dependents, children",v742581,1.2.17,13541.00
1962,Canada,Overseas,"Dependents, children",v742581,1.2.17,14302.00
1963,Canada,Overseas,"Dependents, children",v742581,1.2.17,19464.00
1964,Canada,Overseas,"Dependents, children",v742581,1.2.17,25701.00
1965,Canada,Overseas,"Dependents, children",v742581,1.2.17,35446.00
1966,Canada,Overseas,"Dependents, children",v742581,1.2.17,48322.00
1967,Canada,Overseas,"Dependents, children",v742581,1.2.17,50402.00
1968,Canada,Overseas,"Dependents, children",v742581,1.2.17,39119.00
1969,Canada,Overseas,"Dependents, children",v742581,1.2.17,32282.00
1970,Canada,Overseas,"Dependents, children",v742581,1.2.17,28094.00
1971,Canada,Overseas,"Dependents, children",v742581,1.2.17,22851.00
1972,Canada,Overseas,"Dependents, children",v742581,1.2.17,24535.00
1973,Canada,Overseas,"Dependents, children",v742581,1.2.17,36873.00
1974,Canada,Overseas,"Dependents, children",v742581,1.2.17,53092.00
1975,Canada,Overseas,"Dependents, children",v742581,1.2.17,50311.00
1976,Canada,Overseas,"Dependents, children",v742581,1.2.17,36882.00
1953,Canada,Overseas,"Dependents, other",v742582,1.2.18,4483.00
1954,Canada,Overseas,"Dependents, other",v742582,1.2.18,4801.00
1955,Canada,Overseas,"Dependents, other",v742582,1.2.18,4337.00
1956,Canada,Overseas,"Dependents, other",v742582,1.2.18,4239.00
1957,Canada,Overseas,"Dependents, other",v742582,1.2.18,6838.00
1958,Canada,Overseas,"Dependents, other",v742582,1.2.18,5808.00
1959,Canada,Overseas,"Dependents, other",v742582,1.2.18,5234.00
1960,Canada,Overseas,"Dependents, other",v742582,1.2.18,4460.00
1961,Canada,Overseas,"Dependents, other",v742582,1.2.18,2782.00
1962,Canada,Overseas,"Dependents, other",v742582,1.2.18,3059.00
1963,Canada,Overseas,"Dependents, other",v742582,1.2.18,3704.00
1964,Canada,Overseas,"Dependents, other",v742582,1.2.18,4506.00
1965,Canada,Overseas,"Dependents, other",v742582,1.2.18,5315.00
1966,Canada,Overseas,"Dependents, other",v742582,1.2.18,6222.00
1967,Canada,Overseas,"Dependents, other",v742582,1.2.18,7783.00
1968,Canada,Overseas,"Dependents, other",v742582,1.2.18,10202.00
1969,Canada,Overseas,"Dependents, other",v742582,1.2.18,9377.00
1970,Canada,Overseas,"Dependents, other",v742582,1.2.18,8446.00
1971,Canada,Overseas,"Dependents, other",v742582,1.2.18,7657.00
1972,Canada,Overseas,"Dependents, other",v742582,1.2.18,8028.00
1973,Canada,Overseas,"Dependents, other",v742582,1.2.18,17701.00
1974,Canada,Overseas,"Dependents, other",v742582,1.2.18,16194.00
1975,Canada,Overseas,"Dependents, other",v742582,1.2.18,17832.00
1976,Canada,Overseas,"Dependents, other",v742582,1.2.18,18654.00
