Ref_Date,GEO,SUP,TYP,Vector,Coordinate,Value
1981,Canada,In commercial positions,"Soybeans (x 1,000)",v381643,1.16.8,76.2
1982,Canada,In commercial positions,"Soybeans (x 1,000)",v381643,1.16.8,70.4
1983,Canada,In commercial positions,"Soybeans (x 1,000)",v381643,1.16.8,121.2
1984,Canada,In commercial positions,"Soybeans (x 1,000)",v381643,1.16.8,107.4
1985,Canada,In commercial positions,"Soybeans (x 1,000)",v381643,1.16.8,197.6
1986,Canada,In commercial positions,"Soybeans (x 1,000)",v381643,1.16.8,98.0
1987,Canada,In commercial positions,"Soybeans (x 1,000)",v381643,1.16.8,99.4
1988,Canada,In commercial positions,"Soybeans (x 1,000)",v381643,1.16.8,129.1
1989,Canada,In commercial positions,"Soybeans (x 1,000)",v381643,1.16.8,115.8
1990,Canada,In commercial positions,"Soybeans (x 1,000)",v381643,1.16.8,145.9
1991,Canada,In commercial positions,"Soybeans (x 1,000)",v381643,1.16.8,155.4
1992,Canada,In commercial positions,"Soybeans (x 1,000)",v381643,1.16.8,162.5
1993,Canada,In commercial positions,"Soybeans (x 1,000)",v381643,1.16.8,107.3
1994,Canada,In commercial positions,"Soybeans (x 1,000)",v381643,1.16.8,77.9
1995,Canada,In commercial positions,"Soybeans (x 1,000)",v381643,1.16.8,147.0
1996,Canada,In commercial positions,"Soybeans (x 1,000)",v381643,1.16.8,150.0
1997,Canada,In commercial positions,"Soybeans (x 1,000)",v381643,1.16.8,62.0
1998,Canada,In commercial positions,"Soybeans (x 1,000)",v381643,1.16.8,167.0
1999,Canada,In commercial positions,"Soybeans (x 1,000)",v381643,1.16.8,145.0
2000,Canada,In commercial positions,"Soybeans (x 1,000)",v381643,1.16.8,187.0
2001,Canada,In commercial positions,"Soybeans (x 1,000)",v381643,1.16.8,100.0
2002,Canada,In commercial positions,"Soybeans (x 1,000)",v381643,1.16.8,147.0
2003,Canada,In commercial positions,"Soybeans (x 1,000)",v381643,1.16.8,100.0
1998,Canada,In commercial positions,Dry peas,v15817747,1.16.10,250.0
1999,Canada,In commercial positions,Dry peas,v15817747,1.16.10,140.0
2000,Canada,In commercial positions,Dry peas,v15817747,1.16.10,185.0
2001,Canada,In commercial positions,Dry peas,v15817747,1.16.10,70.0
2002,Canada,In commercial positions,Dry peas,v15817747,1.16.10,85.0
2003,Canada,In commercial positions,Dry peas,v15817747,1.16.10,80.0
1971,Canada,"Disposition, total","Wheat (x 1,000)",v383232,1.21.2,34392.3
1972,Canada,"Disposition, total","Wheat (x 1,000)",v383232,1.21.2,30402.6
1973,Canada,"Disposition, total","Wheat (x 1,000)",v383232,1.21.2,26107.0
1974,Canada,"Disposition, total","Wheat (x 1,000)",v383232,1.21.2,23392.5
1975,Canada,"Disposition, total","Wheat (x 1,000)",v383232,1.21.2,25118.1
1976,Canada,"Disposition, total","Wheat (x 1,000)",v383232,1.21.2,31565.9
1977,Canada,"Disposition, total","Wheat (x 1,000)",v383232,1.21.2,33175.8
1978,Canada,"Disposition, total","Wheat (x 1,000)",v383232,1.21.2,33251.6
1979,Canada,"Disposition, total","Wheat (x 1,000)",v383232,1.21.2,32106.7
1980,Canada,"Disposition, total","Wheat (x 1,000)",v383232,1.21.2,30012.3
1981,Canada,"Disposition, total","Wheat (x 1,000)",v383232,1.21.2,33312.4
1982,Canada,"Disposition, total","Wheat (x 1,000)",v383232,1.21.2,36427.6
1983,Canada,"Disposition, total","Wheat (x 1,000)",v383232,1.21.2,36437.5
1984,Canada,"Disposition, total","Wheat (x 1,000)",v383232,1.21.2,30377.6
1985,Canada,"Disposition, total","Wheat (x 1,000)",v383232,1.21.2,31850.2
1986,Canada,"Disposition, total","Wheat (x 1,000)",v383232,1.21.2,39927.8
1987,Canada,"Disposition, total","Wheat (x 1,000)",v383232,1.21.2,38659.5
1988,Canada,"Disposition, total","Wheat (x 1,000)",v383232,1.21.2,23850.3
1989,Canada,"Disposition, total","Wheat (x 1,000)",v383232,1.21.2,29853.4
1990,Canada,"Disposition, total","Wheat (x 1,000)",v383232,1.21.2,38540.9
1991,Canada,"Disposition, total","Wheat (x 1,000)",v383232,1.21.2,42252.8
1992,Canada,"Disposition, total","Wheat (x 1,000)",v383232,1.21.2,39966.1
1993,Canada,"Disposition, total","Wheat (x 1,000)",v383232,1.21.2,39448.3
1994,Canada,"Disposition, total","Wheat (x 1,000)",v383232,1.21.2,34039.8
1995,Canada,"Disposition, total","Wheat (x 1,000)",v383232,1.21.2,30689.2
1996,Canada,"Disposition, total","Wheat (x 1,000)",v383232,1.21.2,36646.8
1997,Canada,"Disposition, total","Wheat (x 1,000)",v383232,1.21.2,33377.9
1998,Canada,"Disposition, total","Wheat (x 1,000)",v383232,1.21.2,30171.1
1999,Canada,"Disposition, total","Wheat (x 1,000)",v383232,1.21.2,34399.2
2000,Canada,"Disposition, total","Wheat (x 1,000)",v383232,1.21.2,34294.9
2001,Canada,"Disposition, total","Wheat (x 1,000)",v383232,1.21.2,30393.5
2002,Canada,"Disposition, total","Wheat (x 1,000)",v383232,1.21.2,22924.7
2003,Canada,"Disposition, total","Wheat (x 1,000)",v383232,1.21.2,29294.7
1978,Canada,"Disposition, total","Wheat, excluding durum (x 1,000)",v383388,1.21.7,29195.6
1979,Canada,"Disposition, total","Wheat, excluding durum (x 1,000)",v383388,1.21.7,27971.2
1980,Canada,"Disposition, total","Wheat, excluding durum (x 1,000)",v383388,1.21.7,26233.4
1981,Canada,"Disposition, total","Wheat, excluding durum (x 1,000)",v383388,1.21.7,29170.8
1982,Canada,"Disposition, total","Wheat, excluding durum (x 1,000)",v383388,1.21.7,32073.5
1983,Canada,"Disposition, total","Wheat, excluding durum (x 1,000)",v383388,1.21.7,32643.5
1984,Canada,"Disposition, total","Wheat, excluding durum (x 1,000)",v383388,1.21.7,27503.9
1985,Canada,"Disposition, total","Wheat, excluding durum (x 1,000)",v383388,1.21.7,29366.6
1986,Canada,"Disposition, total","Wheat, excluding durum (x 1,000)",v383388,1.21.7,35495.3
1987,Canada,"Disposition, total","Wheat, excluding durum (x 1,000)",v383388,1.21.7,33025.7
1988,Canada,"Disposition, total","Wheat, excluding durum (x 1,000)",v383388,1.21.7,20316.7
1989,Canada,"Disposition, total","Wheat, excluding durum (x 1,000)",v383388,1.21.7,24867.8
1990,Canada,"Disposition, total","Wheat, excluding durum (x 1,000)",v383388,1.21.7,32982.0
1991,Canada,"Disposition, total","Wheat, excluding durum (x 1,000)",v383388,1.21.7,36100.4
1992,Canada,"Disposition, total","Wheat, excluding durum (x 1,000)",v383388,1.21.7,34621.9
1993,Canada,"Disposition, total","Wheat, excluding durum (x 1,000)",v383388,1.21.7,34025.1
1994,Canada,"Disposition, total","Wheat, excluding durum (x 1,000)",v383388,1.21.7,27702.0
1995,Canada,"Disposition, total","Wheat, excluding durum (x 1,000)",v383388,1.21.7,24573.1
1996,Canada,"Disposition, total","Wheat, excluding durum (x 1,000)",v383388,1.21.7,30047.1
1997,Canada,"Disposition, total","Wheat, excluding durum (x 1,000)",v383388,1.21.7,27523.0
1998,Canada,"Disposition, total","Wheat, excluding durum (x 1,000)",v383388,1.21.7,23369.3
1999,Canada,"Disposition, total","Wheat, excluding durum (x 1,000)",v383388,1.21.7,28111.6
2000,Canada,"Disposition, total","Wheat, excluding durum (x 1,000)",v383388,1.21.7,26801.2
2001,Canada,"Disposition, total","Wheat, excluding durum (x 1,000)",v383388,1.21.7,24459.0
2002,Canada,"Disposition, total","Wheat, excluding durum (x 1,000)",v383388,1.21.7,17497.2
2003,Canada,"Disposition, total","Wheat, excluding durum (x 1,000)",v383388,1.21.7,23395.2
1976,Canada,"Disposition, total","Durum wheat (x 1,000)",v382900,1.21.9,4367.2
1977,Canada,"Disposition, total","Durum wheat (x 1,000)",v382900,1.21.9,3605.7
1978,Canada,"Disposition, total","Durum wheat (x 1,000)",v382900,1.21.9,4056.0
1979,Canada,"Disposition, total","Durum wheat (x 1,000)",v382900,1.21.9,4135.5
1980,Canada,"Disposition, total","Durum wheat (x 1,000)",v382900,1.21.9,3778.9
1981,Canada,"Disposition, total","Durum wheat (x 1,000)",v382900,1.21.9,4141.6
1982,Canada,"Disposition, total","Durum wheat (x 1,000)",v382900,1.21.9,4354.1
1983,Canada,"Disposition, total","Durum wheat (x 1,000)",v382900,1.21.9,3794.0
1984,Canada,"Disposition, total","Durum wheat (x 1,000)",v382900,1.21.9,2873.7
1985,Canada,"Disposition, total","Durum wheat (x 1,000)",v382900,1.21.9,2483.6
1986,Canada,"Disposition, total","Durum wheat (x 1,000)",v382900,1.21.9,4432.5
1987,Canada,"Disposition, total","Durum wheat (x 1,000)",v382900,1.21.9,5633.8
1988,Canada,"Disposition, total","Durum wheat (x 1,000)",v382900,1.21.9,3533.6
1989,Canada,"Disposition, total","Durum wheat (x 1,000)",v382900,1.21.9,4985.6
1990,Canada,"Disposition, total","Durum wheat (x 1,000)",v382900,1.21.9,5558.9
1991,Canada,"Disposition, total","Durum wheat (x 1,000)",v382900,1.21.9,6152.4
1992,Canada,"Disposition, total","Durum wheat (x 1,000)",v382900,1.21.9,5344.2
1993,Canada,"Disposition, total","Durum wheat (x 1,000)",v382900,1.21.9,5423.2
1994,Canada,"Disposition, total","Durum wheat (x 1,000)",v382900,1.21.9,6337.8
1995,Canada,"Disposition, total","Durum wheat (x 1,000)",v382900,1.21.9,6116.1
1996,Canada,"Disposition, total","Durum wheat (x 1,000)",v382900,1.21.9,6599.7
1997,Canada,"Disposition, total","Durum wheat (x 1,000)",v382900,1.21.9,5854.9
1998,Canada,"Disposition, total","Durum wheat (x 1,000)",v382900,1.21.9,6801.8
1999,Canada,"Disposition, total","Durum wheat (x 1,000)",v382900,1.21.9,6287.6
2000,Canada,"Disposition, total","Durum wheat (x 1,000)",v382900,1.21.9,7493.7
2001,Canada,"Disposition, total","Durum wheat (x 1,000)",v382900,1.21.9,5934.5
2002,Canada,"Disposition, total","Durum wheat (x 1,000)",v382900,1.21.9,5427.4
2003,Canada,"Disposition, total","Durum wheat (x 1,000)",v382900,1.21.9,5899.5
1971,Canada,"Disposition, total","Oats (x 1,000)",v383259,1.21.3,7573.9
1972,Canada,"Disposition, total","Oats (x 1,000)",v383259,1.21.3,6488.5
1973,Canada,"Disposition, total","Oats (x 1,000)",v383259,1.21.3,6412.1
1974,Canada,"Disposition, total","Oats (x 1,000)",v383259,1.21.3,5200.6
1975,Canada,"Disposition, total","Oats (x 1,000)",v383259,1.21.3,5612.1
1976,Canada,"Disposition, total","Oats (x 1,000)",v383259,1.21.3,6062.1
1977,Canada,"Disposition, total","Oats (x 1,000)",v383259,1.21.3,5610.9
1978,Canada,"Disposition, total","Oats (x 1,000)",v383259,1.21.3,5266.2
1979,Canada,"Disposition, total","Oats (x 1,000)",v383259,1.21.3,4413.6
1980,Canada,"Disposition, total","Oats (x 1,000)",v383259,1.21.3,3835.5
1981,Canada,"Disposition, total","Oats (x 1,000)",v383259,1.21.3,3959.8
1982,Canada,"Disposition, total","Oats (x 1,000)",v383259,1.21.3,4492.2
1983,Canada,"Disposition, total","Oats (x 1,000)",v383259,1.21.3,3943.2
1984,Canada,"Disposition, total","Oats (x 1,000)",v383259,1.21.3,3272.1
1985,Canada,"Disposition, total","Oats (x 1,000)",v383259,1.21.3,3354.5
1986,Canada,"Disposition, total","Oats (x 1,000)",v383259,1.21.3,3994.2
1987,Canada,"Disposition, total","Oats (x 1,000)",v383259,1.21.3,3989.3
1988,Canada,"Disposition, total","Oats (x 1,000)",v383259,1.21.3,3909.0
1989,Canada,"Disposition, total","Oats (x 1,000)",v383259,1.21.3,3958.6
1990,Canada,"Disposition, total","Oats (x 1,000)",v383259,1.21.3,3630.5
1991,Canada,"Disposition, total","Oats (x 1,000)",v383259,1.21.3,2741.4
1992,Canada,"Disposition, total","Oats (x 1,000)",v383259,1.21.3,3373.8
1993,Canada,"Disposition, total","Oats (x 1,000)",v383259,1.21.3,4247.6
1994,Canada,"Disposition, total","Oats (x 1,000)",v383259,1.21.3,4552.4
1995,Canada,"Disposition, total","Oats (x 1,000)",v383259,1.21.3,3617.6
1996,Canada,"Disposition, total","Oats (x 1,000)",v383259,1.21.3,4779.0
1997,Canada,"Disposition, total","Oats (x 1,000)",v383259,1.21.3,4299.3
1998,Canada,"Disposition, total","Oats (x 1,000)",v383259,1.21.3,4806.8
1999,Canada,"Disposition, total","Oats (x 1,000)",v383259,1.21.3,4733.2
2000,Canada,"Disposition, total","Oats (x 1,000)",v383259,1.21.3,4533.3
2001,Canada,"Disposition, total","Oats (x 1,000)",v383259,1.21.3,3598.0
2002,Canada,"Disposition, total","Oats (x 1,000)",v383259,1.21.3,3294.4
2003,Canada,"Disposition, total","Oats (x 1,000)",v383259,1.21.3,4233.8
1971,Canada,"Disposition, total","Barley (x 1,000)",v383286,1.21.4,16239.6
1972,Canada,"Disposition, total","Barley (x 1,000)",v383286,1.21.4,15112.5
1973,Canada,"Disposition, total","Barley (x 1,000)",v383286,1.21.4,14420.6
1974,Canada,"Disposition, total","Barley (x 1,000)",v383286,1.21.4,13328.0
1975,Canada,"Disposition, total","Barley (x 1,000)",v383286,1.21.4,13614.3
1976,Canada,"Disposition, total","Barley (x 1,000)",v383286,1.21.4,13276.9
1977,Canada,"Disposition, total","Barley (x 1,000)",v383286,1.21.4,15019.9
1978,Canada,"Disposition, total","Barley (x 1,000)",v383286,1.21.4,15605.5
1979,Canada,"Disposition, total","Barley (x 1,000)",v383286,1.21.4,13393.3
1980,Canada,"Disposition, total","Barley (x 1,000)",v383286,1.21.4,13409.8
1981,Canada,"Disposition, total","Barley (x 1,000)",v383286,1.21.4,16928.9
1982,Canada,"Disposition, total","Barley (x 1,000)",v383286,1.21.4,18096.9
1983,Canada,"Disposition, total","Barley (x 1,000)",v383286,1.21.4,15337.8
1984,Canada,"Disposition, total","Barley (x 1,000)",v383286,1.21.4,12333.4
1985,Canada,"Disposition, total","Barley (x 1,000)",v383286,1.21.4,14549.0
1986,Canada,"Disposition, total","Barley (x 1,000)",v383286,1.21.4,17877.4
1987,Canada,"Disposition, total","Barley (x 1,000)",v383286,1.21.4,17074.3
1988,Canada,"Disposition, total","Barley (x 1,000)",v383286,1.21.4,14121.8
1989,Canada,"Disposition, total","Barley (x 1,000)",v383286,1.21.4,14574.4
1990,Canada,"Disposition, total","Barley (x 1,000)",v383286,1.21.4,15498.2
1991,Canada,"Disposition, total","Barley (x 1,000)",v383286,1.21.4,14264.9
1992,Canada,"Disposition, total","Barley (x 1,000)",v383286,1.21.4,13648.5
1993,Canada,"Disposition, total","Barley (x 1,000)",v383286,1.21.4,16245.4
1994,Canada,"Disposition, total","Barley (x 1,000)",v383286,1.21.4,15075.6
1995,Canada,"Disposition, total","Barley (x 1,000)",v383286,1.21.4,14862.9
1996,Canada,"Disposition, total","Barley (x 1,000)",v383286,1.21.4,17320.8
1997,Canada,"Disposition, total","Barley (x 1,000)",v383286,1.21.4,16480.9
1998,Canada,"Disposition, total","Barley (x 1,000)",v383286,1.21.4,15223.1
1999,Canada,"Disposition, total","Barley (x 1,000)",v383286,1.21.4,15966.1
2000,Canada,"Disposition, total","Barley (x 1,000)",v383286,1.21.4,16106.3
2001,Canada,"Disposition, total","Barley (x 1,000)",v383286,1.21.4,13473.2
2002,Canada,"Disposition, total","Barley (x 1,000)",v383286,1.21.4,9646.2
2003,Canada,"Disposition, total","Barley (x 1,000)",v383286,1.21.4,13837.9
1971,Canada,"Disposition, total",Rye,v383313,1.21.1,8853.0
1972,Canada,"Disposition, total",Rye,v383313,1.21.1,7417.0
1973,Canada,"Disposition, total",Rye,v383313,1.21.1,6310.0
1974,Canada,"Disposition, total",Rye,v383313,1.21.1,7712.0
1975,Canada,"Disposition, total",Rye,v383313,1.21.1,8973.0
1976,Canada,"Disposition, total",Rye,v383313,1.21.1,7504.0
1977,Canada,"Disposition, total",Rye,v383313,1.21.1,7487.0
1978,Canada,"Disposition, total",Rye,v383313,1.21.1,8805.0
1979,Canada,"Disposition, total",Rye,v383313,1.21.1,10316.0
1980,Canada,"Disposition, total",Rye,v383313,1.21.1,8913.0
1981,Canada,"Disposition, total",Rye,v383313,1.21.1,11494.0
1982,Canada,"Disposition, total",Rye,v383313,1.21.1,12619.0
1983,Canada,"Disposition, total",Rye,v383313,1.21.1,14737.0
1984,Canada,"Disposition, total",Rye,v383313,1.21.1,10833.0
1985,Canada,"Disposition, total",Rye,v383313,1.21.1,9466.0
1986,Canada,"Disposition, total",Rye,v383313,1.21.1,8172.0
1987,Canada,"Disposition, total",Rye,v383313,1.21.1,8022.0
1988,Canada,"Disposition, total",Rye,v383313,1.21.1,6108.0
1989,Canada,"Disposition, total",Rye,v383313,1.21.1,10275.0
1990,Canada,"Disposition, total",Rye,v383313,1.21.1,9771.0
1991,Canada,"Disposition, total",Rye,v383313,1.21.1,6627.0
1992,Canada,"Disposition, total",Rye,v383313,1.21.1,4742.0
1993,Canada,"Disposition, total",Rye,v383313,1.21.1,3997.0
1994,Canada,"Disposition, total",Rye,v383313,1.21.1,5118.0
1995,Canada,"Disposition, total",Rye,v383313,1.21.1,3947.0
1996,Canada,"Disposition, total",Rye,v383313,1.21.1,3525.0
1997,Canada,"Disposition, total",Rye,v383313,1.21.1,3722.0
1998,Canada,"Disposition, total",Rye,v383313,1.21.1,4716.0
1999,Canada,"Disposition, total",Rye,v383313,1.21.1,5570.0
2000,Canada,"Disposition, total",Rye,v383313,1.21.1,4260.0
2001,Canada,"Disposition, total",Rye,v383313,1.21.1,3200.0
1971,Canada,"Disposition, total","Flaxseed (x 1,000)",v383339,1.21.5,1210.3
1972,Canada,"Disposition, total","Flaxseed (x 1,000)",v383339,1.21.5,847.2
1973,Canada,"Disposition, total","Flaxseed (x 1,000)",v383339,1.21.5,687.9
1974,Canada,"Disposition, total","Flaxseed (x 1,000)",v383339,1.21.5,551.9
1975,Canada,"Disposition, total","Flaxseed (x 1,000)",v383339,1.21.5,663.2
1976,Canada,"Disposition, total","Flaxseed (x 1,000)",v383339,1.21.5,657.5
1977,Canada,"Disposition, total","Flaxseed (x 1,000)",v383339,1.21.5,864.5
1978,Canada,"Disposition, total","Flaxseed (x 1,000)",v383339,1.21.5,1042.2
1979,Canada,"Disposition, total","Flaxseed (x 1,000)",v383339,1.21.5,1207.2
1980,Canada,"Disposition, total","Flaxseed (x 1,000)",v383339,1.21.5,1029.5
1981,Canada,"Disposition, total","Flaxseed (x 1,000)",v383339,1.21.5,811.4
1982,Canada,"Disposition, total","Flaxseed (x 1,000)",v383339,1.21.5,1011.3
1983,Canada,"Disposition, total","Flaxseed (x 1,000)",v383339,1.21.5,908.8
1984,Canada,"Disposition, total","Flaxseed (x 1,000)",v383339,1.21.5,848.9
1985,Canada,"Disposition, total","Flaxseed (x 1,000)",v383339,1.21.5,1041.1
1986,Canada,"Disposition, total","Flaxseed (x 1,000)",v383339,1.21.5,1262.4
1987,Canada,"Disposition, total","Flaxseed (x 1,000)",v383339,1.21.5,1148.0
1988,Canada,"Disposition, total","Flaxseed (x 1,000)",v383339,1.21.5,724.9
1989,Canada,"Disposition, total","Flaxseed (x 1,000)",v383339,1.21.5,659.6
1990,Canada,"Disposition, total","Flaxseed (x 1,000)",v383339,1.21.5,943.4
1991,Canada,"Disposition, total","Flaxseed (x 1,000)",v383339,1.21.5,993.1
1992,Canada,"Disposition, total","Flaxseed (x 1,000)",v383339,1.21.5,771.8
1993,Canada,"Disposition, total","Flaxseed (x 1,000)",v383339,1.21.5,877.7
1994,Canada,"Disposition, total","Flaxseed (x 1,000)",v383339,1.21.5,1122.1
1995,Canada,"Disposition, total","Flaxseed (x 1,000)",v383339,1.21.5,1207.0
1996,Canada,"Disposition, total","Flaxseed (x 1,000)",v383339,1.21.5,1042.0
1997,Canada,"Disposition, total","Flaxseed (x 1,000)",v383339,1.21.5,1134.6
1998,Canada,"Disposition, total","Flaxseed (x 1,000)",v383339,1.21.5,1127.4
1999,Canada,"Disposition, total","Flaxseed (x 1,000)",v383339,1.21.5,1175.2
2000,Canada,"Disposition, total","Flaxseed (x 1,000)",v383339,1.21.5,1090.0
2001,Canada,"Disposition, total","Flaxseed (x 1,000)",v383339,1.21.5,998.3
2002,Canada,"Disposition, total","Flaxseed (x 1,000)",v383339,1.21.5,881.3
2003,Canada,"Disposition, total","Flaxseed (x 1,000)",v383339,1.21.5,903.0
1971,Canada,"Disposition, total","Canola (rapeseed) (x 1,000)",v383364,1.21.6,2416.1
1972,Canada,"Disposition, total","Canola (rapeseed) (x 1,000)",v383364,1.21.6,2296.1
1973,Canada,"Disposition, total","Canola (rapeseed) (x 1,000)",v383364,1.21.6,1692.8
1974,Canada,"Disposition, total","Canola (rapeseed) (x 1,000)",v383364,1.21.6,1455.8
1975,Canada,"Disposition, total","Canola (rapeseed) (x 1,000)",v383364,1.21.6,2239.2
1976,Canada,"Disposition, total","Canola (rapeseed) (x 1,000)",v383364,1.21.6,1885.5
1977,Canada,"Disposition, total","Canola (rapeseed) (x 1,000)",v383364,1.21.6,2172.3
1978,Canada,"Disposition, total","Canola (rapeseed) (x 1,000)",v383364,1.21.6,3821.8
1979,Canada,"Disposition, total","Canola (rapeseed) (x 1,000)",v383364,1.21.6,4479.2
1980,Canada,"Disposition, total","Canola (rapeseed) (x 1,000)",v383364,1.21.6,3961.3
1981,Canada,"Disposition, total","Canola (rapeseed) (x 1,000)",v383364,1.21.6,3176.6
1982,Canada,"Disposition, total","Canola (rapeseed) (x 1,000)",v383364,1.21.6,2913.0
1983,Canada,"Disposition, total","Canola (rapeseed) (x 1,000)",v383364,1.21.6,3085.5
1984,Canada,"Disposition, total","Canola (rapeseed) (x 1,000)",v383364,1.21.6,3537.9
1985,Canada,"Disposition, total","Canola (rapeseed) (x 1,000)",v383364,1.21.6,3969.0
1986,Canada,"Disposition, total","Canola (rapeseed) (x 1,000)",v383364,1.21.6,4674.9
1987,Canada,"Disposition, total","Canola (rapeseed) (x 1,000)",v383364,1.21.6,4347.6
1988,Canada,"Disposition, total","Canola (rapeseed) (x 1,000)",v383364,1.21.6,4866.9
1989,Canada,"Disposition, total","Canola (rapeseed) (x 1,000)",v383364,1.21.6,4330.2
1990,Canada,"Disposition, total","Canola (rapeseed) (x 1,000)",v383364,1.21.6,4034.0
1991,Canada,"Disposition, total","Canola (rapeseed) (x 1,000)",v383364,1.21.6,4664.4
1992,Canada,"Disposition, total","Canola (rapeseed) (x 1,000)",v383364,1.21.6,4718.7
1993,Canada,"Disposition, total","Canola (rapeseed) (x 1,000)",v383364,1.21.6,6240.0
1994,Canada,"Disposition, total","Canola (rapeseed) (x 1,000)",v383364,1.21.6,7604.0
1995,Canada,"Disposition, total","Canola (rapeseed) (x 1,000)",v383364,1.21.6,7120.6
1996,Canada,"Disposition, total","Canola (rapeseed) (x 1,000)",v383364,1.21.6,6196.2
1997,Canada,"Disposition, total","Canola (rapeseed) (x 1,000)",v383364,1.21.6,7096.6
1998,Canada,"Disposition, total","Canola (rapeseed) (x 1,000)",v383364,1.21.6,8164.4
1999,Canada,"Disposition, total","Canola (rapeseed) (x 1,000)",v383364,1.21.6,9555.5
2000,Canada,"Disposition, total","Canola (rapeseed) (x 1,000)",v383364,1.21.6,9586.7
2001,Canada,"Disposition, total","Canola (rapeseed) (x 1,000)",v383364,1.21.6,6331.3
2002,Canada,"Disposition, total","Canola (rapeseed) (x 1,000)",v383364,1.21.6,5846.7
2003,Canada,"Disposition, total","Canola (rapeseed) (x 1,000)",v383364,1.21.6,7908.0
1978,Canada,"Disposition, total","Soybeans (x 1,000)",v381644,1.21.8,916.0
1979,Canada,"Disposition, total","Soybeans (x 1,000)",v381644,1.21.8,1139.0
1980,Canada,"Disposition, total","Soybeans (x 1,000)",v381644,1.21.8,1204.1
1981,Canada,"Disposition, total","Soybeans (x 1,000)",v381644,1.21.8,1166.7
1982,Canada,"Disposition, total","Soybeans (x 1,000)",v381644,1.21.8,1355.8
1983,Canada,"Disposition, total","Soybeans (x 1,000)",v381644,1.21.8,1156.0
1984,Canada,"Disposition, total","Soybeans (x 1,000)",v381644,1.21.8,1272.6
1985,Canada,"Disposition, total","Soybeans (x 1,000)",v381644,1.21.8,1404.4
1986,Canada,"Disposition, total","Soybeans (x 1,000)",v381644,1.21.8,1294.8
1987,Canada,"Disposition, total","Soybeans (x 1,000)",v381644,1.21.8,1535.9
1988,Canada,"Disposition, total","Soybeans (x 1,000)",v381644,1.21.8,1447.8
1989,Canada,"Disposition, total","Soybeans (x 1,000)",v381644,1.21.8,1669.7
1990,Canada,"Disposition, total","Soybeans (x 1,000)",v381644,1.21.8,1616.5
1991,Canada,"Disposition, total","Soybeans (x 1,000)",v381644,1.21.8,1742.5
1992,Canada,"Disposition, total","Soybeans (x 1,000)",v381644,1.21.8,1872.7
1993,Canada,"Disposition, total","Soybeans (x 1,000)",v381644,1.21.8,2116.0
1994,Canada,"Disposition, total","Soybeans (x 1,000)",v381644,1.21.8,2414.8
1995,Canada,"Disposition, total","Soybeans (x 1,000)",v381644,1.21.8,2535.4
1996,Canada,"Disposition, total","Soybeans (x 1,000)",v381644,1.21.8,2565.7
1997,Canada,"Disposition, total","Soybeans (x 1,000)",v381644,1.21.8,2966.7
1998,Canada,"Disposition, total","Soybeans (x 1,000)",v381644,1.21.8,3178.4
1999,Canada,"Disposition, total","Soybeans (x 1,000)",v381644,1.21.8,3450.7
2000,Canada,"Disposition, total","Soybeans (x 1,000)",v381644,1.21.8,3386.0
2001,Canada,"Disposition, total","Soybeans (x 1,000)",v381644,1.21.8,2802.4
2002,Canada,"Disposition, total","Soybeans (x 1,000)",v381644,1.21.8,3158.7
2003,Canada,"Disposition, total","Soybeans (x 1,000)",v381644,1.21.8,3000.1
1998,Canada,"Disposition, total",Dry peas,v15817748,1.21.10,2726.8
1999,Canada,"Disposition, total",Dry peas,v15817748,1.21.10,2638.6
2000,Canada,"Disposition, total",Dry peas,v15817748,1.21.10,3275.9
2001,Canada,"Disposition, total",Dry peas,v15817748,1.21.10,2266.8
2002,Canada,"Disposition, total",Dry peas,v15817748,1.21.10,1681.1
2003,Canada,"Disposition, total",Dry peas,v15817748,1.21.10,2458.4
1971,Canada,"Ending stocks, total","Wheat (x 1,000)",v383233,1.22.2,15887.3
1972,Canada,"Ending stocks, total","Wheat (x 1,000)",v383233,1.22.2,9944.7
1973,Canada,"Ending stocks, total","Wheat (x 1,000)",v383233,1.22.2,10089.0
1974,Canada,"Ending stocks, total","Wheat (x 1,000)",v383233,1.22.2,8037.5
1975,Canada,"Ending stocks, total","Wheat (x 1,000)",v383233,1.22.2,7979.0
1976,Canada,"Ending stocks, total","Wheat (x 1,000)",v383233,1.22.2,13318.1
1977,Canada,"Ending stocks, total","Wheat (x 1,000)",v383233,1.22.2,12115.2
1978,Canada,"Ending stocks, total","Wheat (x 1,000)",v383233,1.22.2,14910.7
1979,Canada,"Ending stocks, total","Wheat (x 1,000)",v383233,1.22.2,10720.9
1980,Canada,"Ending stocks, total","Wheat (x 1,000)",v383233,1.22.2,8510.2
1981,Canada,"Ending stocks, total","Wheat (x 1,000)",v383233,1.22.2,9712.8
1982,Canada,"Ending stocks, total","Wheat (x 1,000)",v383233,1.22.2,9973.3
1983,Canada,"Ending stocks, total","Wheat (x 1,000)",v383233,1.22.2,9189.7
1984,Canada,"Ending stocks, total","Wheat (x 1,000)",v383233,1.22.2,7598.0
1985,Canada,"Ending stocks, total","Wheat (x 1,000)",v383233,1.22.2,8568.5
1986,Canada,"Ending stocks, total","Wheat (x 1,000)",v383233,1.22.2,12714.2
1987,Canada,"Ending stocks, total","Wheat (x 1,000)",v383233,1.22.2,7937.6
1988,Canada,"Ending stocks, total","Wheat (x 1,000)",v383233,1.22.2,5057.2
